coding	character	evidence	use_r5	use_r6	branch_lengths	n_absent	model	fitted	n_params	rate	rate_gain	loglik	aic	profile_shape	profile_argmax	reason	first_seen_note
family	ITPR_family	gap_lo	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	gap_lo	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	gap_lo	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	0	1	unit	2	ER	1	1	0.00129584	0.00129584	-7.6498	17.2995				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	0	1	unit	2	ARD	1	2	0.00123635	0.0178738	-7.0849	18.1698				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	gap_lo	0	1	unit	2	irreversible	1	1	0.00130285	0	-7.6432	17.2863				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
