coding	character	evidence	use_r5	use_r6	branch_lengths	is_base	n_tips_scored	n_present	n_absent	n_undecided	dollo_losses_max	dollo_losses_min	gain_node	gain_rule	mk_fitted	mk_best_model	mk_loss_rate	mk_irrev_rate	mk_irrev_loglik	mk_refusal
family	ITPR_family	gap_lo	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	1	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	1	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	1	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	1	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	gap_lo	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
family	ITPR_family	gap_lo	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	gap_lo	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
