cls	class_rule	priority	n	n_vetoed	n_refseq	n_genbank
C1_unannotated	a recovered gene with no same-strand annotated feature	high	10	0	3	7
C1_unannotated	a recovered gene with no same-strand annotated feature	medium	2	1	0	2
C1_unannotated	a recovered gene with no same-strand annotated feature	low	8	0	0	8
C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	high	7	0	0	7
C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	medium	1	1	1	0
C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	46	0	0	46
C3_incomplete	the annotated coding models deliver less than the bar	high	34	0	1	33
C3_incomplete	the annotated coding models deliver less than the bar	medium	16	16	1	15
C3_incomplete	the annotated coding models deliver less than the bar	low	167	0	0	167
C5_wrong_paralog_name	the covering model names a different paralog from the one the alignment assigns	high	1	0	0	1
C6_protein_wrong_family	a protein record named for the sister family that the bait panel calls this one	low	5	0	0	0
