results_entry	files	paper	rule	what	nearest_paper	why_not_there	thesis_chapter	thesis_paper	departure
results/2026-08-18_091322_itpr1_itpr2_itpr3	*	-	excluded	S0 smoke test of the search application	-	an application test, not an analysis	2	-	
results/2026-08-18_092259_itpr1a_itpr1b_itpr2	*	-	excluded	S0 smoke test of the search application	-	an application test, not an analysis	2	-	
results/2026-08-18_123301_itpr1_itpr2_itpr3	*	-	excluded	S0 smoke test of the search application	-	an application test, not an analysis	2	-	
results/2026-08-18_123618_s0_smoke_human	*	-	excluded	S0 smoke test of the search application	-	an application test, not an analysis	2	-	
results/annotation_audit	*	archive	P1	S18: the locus and protein-record audit, and 297 corrections	retention	P1	13	archive	
results/annotation_bugs	*	archive	P1	S10: two annotation failures proved at the exon	retention	P1	13	archive	
results/benchmark_controls	*	range	P2	S1: recall and specificity of the family call on labelled panels, with the ryanodine receptors as the sharp decoy	origin	P2: it is the negative control of the family call, and the family call is the range paper's instrument	3	range	
results/census_v2	*	range	P1	S2: the uncapped InterPro enumeration with a positive ITPR/RYR call on every record	archive	P1: it answers where the family is, not how well it is recorded	3	range	
results/census_v3	*	range	P1	S3: the two-instrument census and the jackhmmer completeness argument	archive	P1	3	range	
results/census_v4	*	archive	P1	S5b: census v3 plus the genome models, with how a database holds each	retention	P1: its result is the db-status of each locus	4	retention	The thesis places census v4 with the vertebrate sweep that made it. Its result, how a database holds each recovered locus, is the archive paper's question, and the retention paper never uses it.
results/census_v5	*	range	P3	S20: census v4 plus the non-vertebrate sweep	archive	P3: the census is the range paper's denominator	5	range	
results/census_v6	*	range	P3	S23: census v5 plus the non-vertebrate gene models	origin	P3: the representatives are drawn from it but it is not a tree result	5	range	
results/constraint	*	constraint	P1	S17: per-residue constraint and the variant classifier	ligand	P1: the ligand paper asks one module's question of these layers	11	constraint	
results/duplication	*	origin	P1	S16: 2R ohnology, the 3R teleost copies and the copy-number landscape	retention	P1	7	origin	
results/expression	*	archive	P2	S12: RNA-seq junction evidence at the loci the annotation loses	retention	P2: the transcription evidence is the control that the lost loci are genes	13	archive	
results/gene_architecture	*	origin	P1	S21: exon/intron architecture and the shared-ancestral-intron test	archive	P1: its headline is the shared intron core; the fragment-terminus half is cited by the archive paper	8	origin	
results/genome_ledger	*	retention	P1	S5: the 309-genome ledger, one row per genome and paralogue	archive	P1	4	retention	
results/genome_manifest.tsv	*	retention	P3	S4: the declared 309-genome vertebrate denominator	archive	P3: both papers use it and each restates it; it was built for the count	4	retention	
results/genome_manifest_notes.md	*	retention	P3	S4: the scope document rendered from the manifest	archive	P3	4	retention	
results/hmm_sweep	*	range	P2	S3: the ITPR and RyR profiles and the vertebrate proteome sweep	retention	P2: the profile margin is the range paper's positive family test	3	range	
results/ligand_site	*	ligand	P1	S22: the ligand core against the pore, the shells and the PLC panel	constraint	P1: one module's question, with its own controls (P2) and four figures (P4)	12	ligand	
results/loss_counts	*	retention	P1	S15b: the Dollo counts and the sensitivity matrix	origin	P1	9	retention	
results/loss_dynamics	*	retention	P1	S15a: the character matrix and the loss instrument	origin	P1	9	retention	
results/methods	jackhmmer_*	range	P5s	S19: the jackhmmer runs re-derived from their raw logs	retention	P2: D10's kill criterion guards the range paper's completeness claim	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
